original_title,generated_title
Spear operators between Banach spaces,['Lushness of the Fourier transform and spear operators']
"The paradigm-shift of social spambots: Evidence, theories, and tools for
  the arms race",['Turning the tide in the fight against social spambots']
"Nonclassical Light Generation from III-V and Group-IV Solid-State Cavity
  Quantum Systems",['Nonclassical light generation in semiconductor cavity QED']
Cooperative Dynamics of Neighborhood Economic Status in Cities,['The Long Term Evolution of Neighborhood Economic Status in Cities: A Neighborhood Potential Function and Agent Wealth Gain Model']
Proceedings XVI Jornadas sobre Programaci\'on y Lenguajes,"[""Proceedings XVI Jornadas sobre Programaci'on y Lenguajes""]"
Useful states and entanglement distillation,['Mixed-state entanglement bounds under one-way and two-way LOCC']
Modulational Instability in Linearly Coupled Asymmetric Dual-Core Fibers,['Modulational instability in asymmetric dual-core nonlinear directional couplers']
Extended Gray-Wyner System with Complementary Causal Side Information,['Extended Gray-Wyner System with Complementary Causal Side Information']
Isotropic-Nematic Phase Transitions in Gravitational Systems,['Liquid crystals in dense self-gravitating stellar systems']
On Discrete Gibbs Measure Approximation to Runs,['Stein operator for Bernoulli trials']
Sampling and Reconstruction Using Bloom Filters,['Efficient Sampling and Reconstruction from Bloom Filters']
"Superiorized algorithm for reconstruction of CT images from sparse-view
  and limited-angle polyenergetic data",['A Superiorized Iterative Reconstruction Algorithm for CT Imaging with Total Variation']
On Meshfree GFDM Solvers for the Incompressible Navier-Stokes Equations,['Meshfree Generalized Finite Difference Methods for the Incompressible Navier--Stokes Equations']
Fast Bayesian Intensity Estimation for the Permanental Process,['Fast Bayesian inference for the permanental process']
Proton fire hose instabilities in the expanding solar wind,['Competition between fire hose and anisotropy in collisionless homogeneous plasmas']
"On the Influence of the Mass Definition in the Stability of Axisymmetric
  Relativistic Thin Disks",['Stability of relativistic thin disks with a first-order perturbation using the Komar mass']
Counting Quasi-Idempotent Irreducible Integral Matrices,['Generalized compositions and generalized partitions']
"Axisymmetric Charge-Conservative Electromagnetic Particle Simulation
  Algorithm on Unstructured Grids: Application to Microwave Vacuum Electronic
  Devices",['A 2.5-Dimensional Particle-in-cell Algorithm for Vacuum Electronic Devices with Cylindrical Symmetry']
"An automated system to measure the quantum efficiency of CCDs for
  astronomy",['A system to measure the Quantum Efficiency of a CCD camera in the wavelength range 300 nm to 1100 nm']
"AC-Biased Shift Registers as Fabrication Process Benchmark Circuits and
  Flux Trapping Diagnostic Tool",['Ac-biased shift register as a benchmark circuit for superconducting electronics fabrication technology']
"Single-Sided Field-Free Line Generator Magnet for Multidimensional
  Magnetic Particle Imaging",['Selection coils for a single-sided field-free line magnetic particle imaging scanner']
"Asteroseismic constraints on Asymmetric Dark Matter: Light particles
  with an effective spin-dependent coupling",['Asteroseismic constraints on Asymmetric Dark Matter']
Linear smoothed extended finite element method,['Linear Smoothed Extended Finite Element Method for Discontinuous Elastic Fracture Mechanics']
"Geographic Space as a Living Structure for Predicting Human Activities
  Using Big Data",['The Living Structure and the Topological Representation of Geographic Space for Predicting Human Activities']
Local martingales in discrete time,['A new proof for the existence of a martingale as a discrete-time $Q$--martingale']
"Basis to develop a platform for multiple-scale complex systems modeling
  and visualization: MoNet",['MoNet: A Digital Platform for the Visualization of Complex Systems']
"A Computational Study on the Relation between Resting Heart Rate and
  Atrial Fibrillation Hemodynamics under Exercise",['Effect of resting heart rate on the hemodynamic response to exercise in permanent atrial fibrillation patients']
"Learning Traffic as Images: A Deep Convolutional Neural Network for
  Large-Scale Transportation Network Speed Prediction",['Convolutional Neural Networks for Large-Scale Traffic Speed Prediction']
"Statistical analysis of the first passage path ensemble of jump
  processes",['First passage path ensemble of Markovian and continuous-time jump processes']
"Subsampling scaling: a theory about inference from partly observed
  systems",['Scaling of Spatial Subsampling']
Total rainbow connection of digraphs,['The total rainbow connection number of digraphs']
"Single-molecule theory of enzymatic inhibition predicts the emergence of
  inhibitor-activator duality",['Emergence of Inhibitor-Activator Duality in Single-Enzyme Inhibition']
"The role of atomic orbitals of doped earth-abundant metals on designed
  copper catalytic surfaces",['Orbital-Specific Binding Energy Analysis of Fe and Zn-Doped Cu (100) Surfaces for Green Chemistry Applications']
Integral group rings of solvable groups with trivial central units,['Integral group rings of finite solvable groups']
"Lower bounds for weak approximation errors for spatial spectral Galerkin
  approximations of stochastic wave equations",['Weak errors for numerical approximations of semilinear stochastic wave equations']
Some exact Bradlow vortex solutions,['On the Bradlow vortex equation']
CMB Polarization B-mode Delensing with SPTpol and Herschel,['Reducing the CMB B-mode Polarization Anisotropy Using SPTpol Lenses']
On double-resolution imaging and discrete tomography,['Hardness of Super-Resolution Imaging with Two Viewing Angles']
Enabling Radiative Transfer on AMR grids in CRASH,['CRASH-AMR: A new version of the cosmological Radiative Transfer code CRASH']
"Enhancing Quantum Annealing Performance for the Molecular Similarity
  Problem",['Performance of a Quantum Annealer for the Molecular Similarity Problem']
An Information-Theoretic Analysis of Deduplication,['An Information-Theoretic Analysis of Deduplication']
Observability of surface currents in p-wave superconductors,['Spontaneous surface currents in a chiral p-wave superconductor']
"The Partition Rank of a Tensor and $k$-Right Corners in
  $\mathbb{F}_{q}^{n}$",['The Partition Rank and the Slice Rank Method']
"Numerical Approximations for a Phase-Field Moving Contact Line Model
  with Variable Densities and Viscosities",['Energy stable schemes for a two-phase hydrodynamics coupled phase-field model with moving contact line boundary conditions']
Proceedings Fourth International Workshop on Linearity,['Proceedings Fourth International Workshop on Linearity']
BTZ black hole assuming running couplings,['BTZ black hole with scale dependent couplings']
PUMA criterion = MODE criterion,['PUMA estimator minimizes the same criterion as MODE']
"Overfitting Bayesian Mixtures of Factor Analyzers with an Unknown Number
  of Components",['Bayesian Overfitting of Mixtures of Factor Analyzers for Clustering Correlated High Dimensional Data']
Une mesure d'expertise pour le crowdsourcing,['Graph-based Degree of Expertise in Crowdsourcing']
"Nucleation and growth of hierarchical martensite in epitaxial shape
  memory films",['Creation of hierarchical space-filling martensitic microstructure in epitaxial Ni-Mn-Ga films']
"A Resistive CAM Processing-in-Storage Architecture for DNA Sequence
  Alignment",['PRinS: Processing-in-Storage for Sequence Alignment']
Exponential Bounds for the Erd\H{o}s-Ginzburg-Ziv Constant,['ErdHos-Ginzburg-Ziv constants of abelian groups']
Topological deconfinement transition in QCD at finite isospin density,['Topological deconfinement transition at finite isospin chemical potential']
Toggling independent sets of a path graph,['Homomesy and Orbit Structure of Coxeter Actions']
"Mathematical modelling of variable porosity coatings for controlled drug
  release",['Controlling drug release with multi-layer variable porosity coatings']
"Unraveling the exciton binding energy and the dielectric constant in
  single crystal methylammonium lead tri-iodide perovskite",['Determination of the exciton binding energy and reduced mass in single crystals of methylammonium lead tri-iodide']
Spectral analysis of photonic crystals made of thin rods,['Non-propagation of electromagnetic waves in photonic crystals']
Mixing properties of tree-shifts,['Symbolic dynamics on Cayley trees']
"Estimation of causal effects with multiple treatments: a review and new
  ideas",['Estimating Causal Effects with Multiple Treatments']
Minimization of Visibly Pushdown Automata Using Partial Max-SAT,['Language-Preserving Quotienting of Visibly Pushdown Automata']
Locally recoverable codes from algebraic curves and surfaces,['Locally recoverable codes from algebraic curves and surfaces']
Efficient Information Flow Maximization in Probabilistic Graphs,['Optimal Information Propagation in Uncertain Networks']
Efficient computation of higher order cumulant tensors,['Tensor-based Calculation of Arbitrary Order Cumulants']
The number of realizations of a Laman graph,['A recursive formula for the number of complex solutions of rigid Laman graphs']
Fisher consistency for prior probability shift,['Unbiasedness and Fisher consistency in classifiers']
Tuneable Sieving of Ions Using Graphene Oxide Membranes,['Tuning Ion Permeation in Graphene Oxide Membranes by Physical Confinement']
Dunkl generalization of Szasz Beta type operators,['Approximation by Dunkl generalization of Szasz beta type operators']
"A split step Fourier/discontinuous Galerkin scheme for the
  Kadomtsev--Petviashvili equation",['A semi-Lagrangian discontinuous Galerkin scheme for solving the Kadomtsev--Petviashvili equation']
