original_titles,generated_titles
"Numerical Inversion of SRNF Maps for Elastic Shape Analysis of
  Genus-Zero Surfaces",['Multiresolution Elastic Shape Analysis using Square-Root Normal Fields']
Deep Learning Ensembles for Melanoma Recognition in Dermoscopy Images,['Deep Learning Ensembles for Melanoma Detection in Dermoscopy Images']
On the Stability of Kalman-Bucy Diffusion Processes,['Stability and convergence of the Kalman-Bucy filter for continuous state space models']
Designing compensated magnetic states in tetragonal Mn3Ge-based alloys,['Complete compensated states in Ni-doped Mn3Ge-based D022-type tetragonal Heusler alloys']
What Can We Learn From Analogue Experiments?,['Black holes as fluid mechanical analogues of quantum gravity']
Pach's selection theorem does not admit a topological extension,['On selection theorems for sets with linear size sets']
"Kinetic description of collision avoidance in pedestrian crowds by
  sidestepping",['A collisional kinetic model for pedestrians who steer their way avoiding collisions']
The xyz algorithm for fast interaction search in high-dimensional data,['Fast and linear time-efficient interaction discovery with a single core CPU']
Quantum enhancement of randomness distribution,['Assisted Randomness Distribution Capacity of Quantum Channels']
"Maximal operators and Hilbert transforms along variable non-flat
  homogeneous curves",['Maximal operators and Hilbert transforms on planar curves']
"Bounding the average gate fidelity of composite channels using the
  unitarity",['Reliable Estimation of the Total Fidelity and Unitarity of Quantum Circuits']
Nearest Neighbor: The Low-Mass Milky Way Satellite Tucana III,['Magellan/IMACS Spectroscopy of the Milky Way Satellite Tucana III: A Tidally-Stripped Dwarf Galaxy?']
"Going off the Grid: Iterative Model Selection for Biclustered Matrix
  Completion",['Matrix Completion with Side Information']
"Hysteresis and phase transitions in a lattice regularization of an
  ill-posed forward-backward diffusion equation",['Lattice Regularization of an Ill-Posed Diffusion Equation with Trilinear Constitutive Law']
"Acylindrical hyperbolicity of the three-dimensional tame automorphism
  group",['On the non-simplicity of the group STame(k3)']
Reduced Order Internal Models in the Frequency Domain,['The Internal Model Principle for Robust Regulation']
"On the Hyperprior Choice for the Global Shrinkage Parameter in the
  Horseshoe Prior",['Setting the Horseshoe Prior for the Global Shrinkage Hyperparameter']
"Stabilised dG-FEM for incompressible natural convection flows with
  boundary and moving interior layers on non-adapted meshes",['Discontinuous Galerkin finite element methods for melting and solidification problems with heavy grad-div stabilisation']
"Dichotomy between in-plane magnetic susceptibility and resistivity
  anisotropies in extremely strained $BaFe_{2}As_{2}$",['In-plane resistivity and uniform magnetic susceptibility anisotropies of $BaFe_2As_2$ under uniaxial strain']
"Acoustic Reflector Localization: Novel Image Source Reversion and Direct
  Localization Methods",['Acoustic Reflector Localization with ISDAR and LIB: Clustered Dynamic Programming Projected Phase-Slope and Direct Localization']
"Semantic Decomposition and Recognition of Long and Complex Manipulation
  Action Sequences",['Semantic Segmentation and Recognition of Long and Complex Manipulation Actions']
"Coercivity condition for higher order moments for nonlinear SPDEs and
  existence of solution under local monotonicity",['Higher order moment estimates and existence of SPDEs with local monotonicity']
"Monotonicity-based regularization for phantom experiment data in
  Electrical Impedance Tomography",['Monotonicity-based linearized-data-fit minimization for electrical impedance tomography']
"Pedestrian flows through a narrow doorway: Effect of individual
  behaviours on the global flow and microscopic dynamics",['Pedestrian evacuation through a narrow doorway: selfish behaviour and time lapses']
Risk-Sensitive Stopping Problems for Continuous-Time Markov Chains,['Risk-Sensitive Stopping Problems for Continuous-Time Markov Chains']
"Payload-Size and Deadline-Aware Scheduling for Time-critical Cyber
  Physical Systems",['Deadline-Aware Packet Scheduling in LTE-Sim']
Perfect quantum state transfer using Hadamard diagonalizable graphs,['Perfect state transfer on Hadamard diagonalizable graphs']
Operadic categories and their skew monoidal categories of collections,['Operadic categories of sets and functions']
Semidefinite programming strong converse bounds for classical capacity,['Semidefinite programs strong converse bounds for the classical capacity of quantum channels']
"Nordhaus-Gaddum type inequalities for multiple domination and packing
  parameters in graphs",['Nordhaus-Gaddum type results for packing and domination numbers of graphs']
"Imaging the potential distribution of individual charged impurities on
  graphene by low-energy electron holography",['Low-energy electron holography of individual charged impurities on free-standing graphene']
The Catalan Equation in Finitely Generated Domains,['The Catalan equation in characteristic zero']
Authorship Attribution Based on Life-Like Network Automata,['Authorship Attribution through Cellular Automata']
Massless QFT and the Newton-Wigner Operator,['Eigenfunctions of the Second-Quantized Spatial-Coordinate Operator w.r.t. Massless Scalar Field']
Reedy diagrams in V-model categories,['Reedy diagrams in $mmK$-model categories']
"The metal enrichment of passive galaxies in cosmological simulations of
  galaxy formation",['The mass-metallicity relation in simulations of early-type galaxies']
When do Correlations Increase with Firing Rate?,['Correlations and firing rates in excitatory-inhibitory spiking networks']
"Optimal Mechanisms for Selling Two Items to a Single Buyer Having
  Uniformly Distributed Valuations",['Optimal Mechanisms for Single Buyer Sale of Two Items']
Tropical spectrahedra,['Tropical spectrahedra']
Analysis of Finite Element Methods for Vector Laplacians on Surfaces,['A finite element method for the vector Laplacian on surfaces embedded in $mathbbR3$']
Modular Deep Q Networks for Sim-to-real Transfer of Visuo-motor Policies,['Modular Deep Reinforcement Learning for Transfer Learning of Visuo-motor Policies']
Logarithm laws for unipotent flows on hyperbolic manifolds,['Logarithm laws for unipotent flows on hyperbolic manifolds']
Fine tuning and MOND in a metamaterial multiverse,['Ferrofluid-based metamaterial multiverse and fine-tuning in cosmology']
Contextuality under weak assumptions,['Possibilistic Contextuality']
"Convergence of the Euler-Maruyama method for multidimensional SDEs with
  discontinuous drift and degenerate diffusion coefficient",['Convergence of the Euler-Maruyama scheme for multidimensional SDEs with discontinuous drift and degenerate diffusion coefficient']
Eulerian polynomials and descent statistics,['Identities for polynomials counting permutations by descent statistics']
"Cohort aggregation modelling for complex forest stands: Spruce-aspen
  mixtures in British Columbia",['Modelling mixed-species growth at the whole stand level']
"On the mechanism of gas adsorption for pristine, defective and
  functionalized graphene","['Effects of defects on graphene gas adsorption: carbon deficiency, adatom and functional groups']"
"STDP allows close-to-optimal spatiotemporal spike pattern detection by
  single coincidence detector neurons",['Optimal detection of spatiotemporal spike patterns by single neurons']
The inverse scattering problem by an elastic inclusion,['The Direct Method for the Inverse Elastic Scattering Problem by an Inclusion']
"Characterization of an inconsistency ranking for pairwise comparison
  matrices",['Characterization of the Koczkodaj-Inconsistency Index for Pairwise Comparison Matrices']
"Measurement-Based Wideband Analysis of Dynamic Multipath Propagation in
  Vehicular Communication Scenarios",['Multipath Propagation Modeling in Vehicular Communication Scenarios']
"Tracking of Wideband Multipath Components in a Vehicular Communication
  Scenario",['Multipath Tracking Performance Evaluation of a 1 GHz Bandwidth Vehicular Channel Sounder']
"Reduced Loop Quantization with four Klein-Gordon Scalar Fields as
  Reference Matter",['Reduced phase space quantization of gravity using four Klein-Gordon scalar fields as reference matter']
Quantifying Differential Privacy under Temporal Correlations,['Temporal Privacy Leakage of Differential Privacy Mechanisms']
"A Theoretical Analysis of Noisy Sparse Subspace Clustering on
  Dimensionality-Reduced Data",['On Sparse Subspace Clustering: Theory and Applications']
"Supervised-Learning-Aided Communication Framework for MIMO Systems with
  Low-Resolution ADCs",['Supervised-Learning-Aided Data Detection for MIMO Systems with Low-Resolution ADCs']
GMRT observations of IC 711 -- The longest head-tail radio galaxy known,['GMRT observations of the head-tail radio galaxy IC 711']
"Uniqueness and nondegeneracy of positive solutions to a class of
  Kirchhoff equations in $\mathbb{R}^3$",['Uniqueness and nondegeneracy results for positive solutions to nonlocal Kirchhoff equations']
"Mean trapping time for an arbitrary node on regular hyperbranched
  polymers",['First-passage properties for random walks on regular hyperbranched polymers']
A Higher-order Calculus of Computational Fields,['A Higher-Order Calculus of Computational Fields for Collective Adaptation']
"Local well-posedness for the nonlinear Schr\""odinger equation in the
  intersection of modulation spaces $M_{p, q}^s(\mathbb{R}^d) \cap M_{\infty,
  1}(\mathbb{R}^d)$","['The cubic nonlinear Schr""odinger equation in a modulation space']"
"The Event-Camera Dataset and Simulator: Event-based Data for Pose
  Estimation, Visual Odometry, and SLAM",['Event-Camera Data Released by DAVIS']
Multiplayer parallel repetition for expander games,['The exponential decay rate of parallel repetition for multi-player games']
"On the equation $x + y = 1$ in finitely generated groups in positive
  characteristic",['On the number of solutions of elliptic equations in positive characteristic']
